"","Year","Month","Day","Hour","AQI","RawConc","date","YearName","Month_Name"
"77",2018,1,4,5,95,33,2018-01-04 05:00:00,"2018","January"
"78",2018,1,4,6,101,38,2018-01-04 06:00:00,"2018","January"
"79",2018,1,4,7,113,45,2018-01-04 07:00:00,"2018","January"
"80",2018,1,4,8,101,31,2018-01-04 08:00:00,"2018","January"
"81",2018,1,4,9,98,33,2018-01-04 09:00:00,"2018","January"
"82",2018,1,4,10,96,33,2018-01-04 10:00:00,"2018","January"
"83",2018,1,4,11,99,37,2018-01-04 11:00:00,"2018","January"
"84",2018,1,4,12,103,38,2018-01-04 12:00:00,"2018","January"
"85",2018,1,4,13,99,32,2018-01-04 13:00:00,"2018","January"
"86",2018,1,4,14,97,33,2018-01-04 14:00:00,"2018","January"
"87",2018,1,4,15,93,29,2018-01-04 15:00:00,"2018","January"
"88",2018,1,4,16,95,35,2018-01-04 16:00:00,"2018","January"
"89",2018,1,4,17,98,37,2018-01-04 17:00:00,"2018","January"
"90",2018,1,4,18,99,36,2018-01-04 18:00:00,"2018","January"
"91",2018,1,4,19,96,30,2018-01-04 19:00:00,"2018","January"
"92",2018,1,4,20,96,34,2018-01-04 20:00:00,"2018","January"
"93",2018,1,4,21,98,37,2018-01-04 21:00:00,"2018","January"
"94",2018,1,4,22,102,40,2018-01-04 22:00:00,"2018","January"
"95",2018,1,4,23,114,47,2018-01-04 23:00:00,"2018","January"
"96",2018,1,5,0,123,49,2018-01-05 00:00:00,"2018","January"
"97",2018,1,5,1,133,53,2018-01-05 01:00:00,"2018","January"
"98",2018,1,5,2,140,54,2018-01-05 02:00:00,"2018","January"
"99",2018,1,5,3,133,45,2018-01-05 03:00:00,"2018","January"
"100",2018,1,5,4,124,41,2018-01-05 04:00:00,"2018","January"
"101",2018,1,5,5,120,41,2018-01-05 05:00:00,"2018","January"
"102",2018,1,5,6,115,39,2018-01-05 06:00:00,"2018","January"
"103",2018,1,5,7,122,48,2018-01-05 07:00:00,"2018","January"
"104",2018,1,5,8,123,45,2018-01-05 08:00:00,"2018","January"
"105",2018,1,5,9,124,46,2018-01-05 09:00:00,"2018","January"
"106",2018,1,5,10,120,39,2018-01-05 10:00:00,"2018","January"
"107",2018,1,5,11,114,36,2018-01-05 11:00:00,"2018","January"
"108",2018,1,5,12,102,31,2018-01-05 12:00:00,"2018","January"
"109",2018,1,5,13,104,38,2018-01-05 13:00:00,"2018","January"
"110",2018,1,5,14,104,36,2018-01-05 14:00:00,"2018","January"
"111",2018,1,5,15,102,34,2018-01-05 15:00:00,"2018","January"
"112",2018,1,5,16,99,33,2018-01-05 16:00:00,"2018","January"
"113",2018,1,5,17,93,29,2018-01-05 17:00:00,"2018","January"
"114",2018,1,5,18,95,34,2018-01-05 18:00:00,"2018","January"
"115",2018,1,5,19,103,42,2018-01-05 19:00:00,"2018","January"
"116",2018,1,5,20,106,40,2018-01-05 20:00:00,"2018","January"
"117",2018,1,5,21,106,39,2018-01-05 21:00:00,"2018","January"
"118",2018,1,5,22,111,43,2018-01-05 22:00:00,"2018","January"
"119",2018,1,5,23,110,38,2018-01-05 23:00:00,"2018","January"
"120",2018,1,6,0,111,41,2018-01-06 00:00:00,"2018","January"
"121",2018,1,6,1,108,36,2018-01-06 01:00:00,"2018","January"
"122",2018,1,6,2,112,43,2018-01-06 02:00:00,"2018","January"
"123",2018,1,6,3,109,36,2018-01-06 03:00:00,"2018","January"
"124",2018,1,6,4,107,37,2018-01-06 04:00:00,"2018","January"
"125",2018,1,6,5,108,37,2018-01-06 05:00:00,"2018","January"
"126",2018,1,6,6,114,48,2018-01-06 06:00:00,"2018","January"
"127",2018,1,6,7,128,56,2018-01-06 07:00:00,"2018","January"
"128",2018,1,6,8,135,54,2018-01-06 08:00:00,"2018","January"
"129",2018,1,6,9,147,60,2018-01-06 09:00:00,"2018","January"
"130",2018,1,6,10,148,55,2018-01-06 10:00:00,"2018","January"
"131",2018,1,6,11,146,53,2018-01-06 11:00:00,"2018","January"
"132",2018,1,6,12,140,48,2018-01-06 12:00:00,"2018","January"
"133",2018,1,6,13,142,53,2018-01-06 13:00:00,"2018","January"
"134",2018,1,6,14,144,54,2018-01-06 14:00:00,"2018","January"
"135",2018,1,6,15,143,52,2018-01-06 15:00:00,"2018","January"
"136",2018,1,6,16,135,44,2018-01-06 16:00:00,"2018","January"
"137",2018,1,6,17,134,46,2018-01-06 17:00:00,"2018","January"
"138",2018,1,6,18,136,52,2018-01-06 18:00:00,"2018","January"
"139",2018,1,6,19,144,61,2018-01-06 19:00:00,"2018","January"
"140",2018,1,6,20,152,66,2018-01-06 20:00:00,"2018","January"
"141",2018,1,6,21,153,64,2018-01-06 21:00:00,"2018","January"
"142",2018,1,6,22,154,65,2018-01-06 22:00:00,"2018","January"
"143",2018,1,6,23,157,73,2018-01-06 23:00:00,"2018","January"
"144",2018,1,7,0,160,78,2018-01-07 00:00:00,"2018","January"
"145",2018,1,7,1,155,53,2018-01-07 01:00:00,"2018","January"
